amo;jazida;cimento;#25.4;#9.5;#4;#10;#40;#200;LL;LP;TRB;umidade;peso;CBR;exp;confinante;desvio;MR
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,053;0,158;848
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,07;0,07;1168
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,07;0,14;994
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,07;0,21;926
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,105;0,105;1253
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,105;0,21;1170
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,105;0,315;1107
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,14;0,14;1427
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,14;0,28;1230
5;2;2;94;83;67;54;26;13;0;0;1,2;7;2,147;114;0;0,14;0,42;1116
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,021;0,021;950
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,021;0,042;816
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,021;0,063;760
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,035;0,035;921
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,035;0,07;894
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,035;0,105;781
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,053;0,053;1040
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,053;0,105;865
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,053;0,158;822
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,07;0,07;1134
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,07;0,14;984
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,07;0,21;915
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,105;0,105;1311
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,105;0,21;1138
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,105;0,315;1095
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,14;0,14;1454
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,14;0,28;1266
6;2;3;94;83;67;54;26;13;0;0;1,2;7,4;2,163;129;0;0,14;0,42;1160
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,021;0,021;906
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,021;0,042;832
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,021;0,063;627
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,035;0,035;866
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,035;0,07;686
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,035;0,105;597
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,053;0,053;899
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,053;0,105;714
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,053;0,158;647
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,07;0,07;884
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,07;0,14;713
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,07;0,21;732
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,105;0,105;933
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,105;0,21;849
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,105;0,315;805
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,14;0,14;994
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,14;0,28;948
7;3;0;99;87;63;43;35;20;24;0;2,4;7,5;2,228;125;0;0,14;0,42;900
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,021;0,021;867
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,021;0,042;673
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,021;0,063;565
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,035;0,035;742
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,035;0,07;885
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,035;0,105;758
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,053;0,053;1069
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,053;0,105;959
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,053;0,158;967
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,07;0,07;1253
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,07;0,14;1080
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,07;0,21;1141
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,105;0,105;1429
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,105;0,21;1287
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,105;0,315;1271
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,14;0,14;1578
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,14;0,28;1496
8;3;2;99;87;63;43;35;20;24;0;2,4;7,6;2,236;149;0;0,14;0,42;1325
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,021;0,021;656
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,021;0,042;559
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,021;0,063;565
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,035;0,035;738
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,035;0,07;567
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,035;0,105;632
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,053;0,053;775
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,053;0,105;712
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,053;0,158;789
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,07;0,07;961
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,07;0,14;908
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,07;0,21;995
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,105;0,105;1201
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,105;0,21;1236
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,105;0,315;1221
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,14;0,14;1473
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,14;0,28;1454
9;3;3;99;87;63;43;35;20;24;0;2,4;7,4;2,242;170;0;0,14;0,42;1408
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,021;0,021;641
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,021;0,042;524
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,021;0,063;448
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,035;0,035;675
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,035;0,07;539
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,035;0,105;500
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,053;0,053;700
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,053;0,105;664
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,053;0,158;640
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,07;0,07;850
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,07;0,14;713
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,07;0,21;686
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,105;0,105;994
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,105;0,21;852
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,105;0,315;833
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,14;0,14;994
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,14;0,28;971
10;4;0;100;88;58;38;31;14;0;0;2,4;7,3;2,295;117;0,1;0,14;0,42;913
